"uid","email","age","product_name","product_type","quantity","purchase_price","purchase_date","purchase_address","long","lat"
"pg23ja0emj4heans6mn48ym0iwag","f4cvw@gmail.com",20,"NIPISMADU 330ML","soft drink",1,3900,"2024-05-04","",110.435333994123,-0.772944942443175
"6cz1lmufs3vcc10fcu155w108cnc","x4ky0@gmail.com",51,"KNZLER SNGLES ORG 65","makanan gurih",2,9000,"2024-12-07","",110.435333994123,-0.772944942443175
"o524zrz8jyqr592r8swdlskfapvo","8243q@gmail.com",23,"GD GCPN 250ML","soft drink",2,7700,"2024-12-30","",110.435333994123,-0.772944942443175
"uehosw9qmansprysfyh9vltw4xh9","v7m9m@gmail.com",32,"FOREST PCH480ML","soft drink",3,9300,"2024-10-27","",110.435333994123,-0.772944942443175
"335q5od4zaa6uj60ghjfz8hngqt2","r0cb0@gmail.com",45,"GATSBY CLG. D/OCN. 175","personal hygiene",3,22000,"2024-04-02","",110.435333994123,-0.772944942443175
"riyzkh71obhb7ki1tlkyhfujmrvn","ylpyg@gmail.com",13,"CCBB STR STK 5S","makanan gurih",2,16800,"2024-10-10","",110.435333994123,-0.772944942443175
"bxgpeg6tx72l5y3kqljjqxtozgj3","f7nur@gmail.com",33,"S.BRD TA POLO KEJU","makanan pokok",2,9000,"2024-11-03","",110.435333994123,-0.772944942443175
"dhs0i9wxzd92v12bcoctm74b9jjw","l8lsi@gmail.com",15,"POKKA GRN TEA NS 450","minuman sehat",1,10200,"2024-04-02","",110.435333994123,-0.772944942443175
"qaetaoouundmd4cwiusui725boxh","daec4@gmail.com",17,"SQ GREENTEA 22G","makanan manis",3,13400,"2024-06-20","",110.435333994123,-0.772944942443175
"koks34l90bwkozi5ha1o1v9vd7ub","osdc8@gmail.com",25,"GG SURYA 12","produk dewasa",4,27200,"2024-03-24","",110.435333994123,-0.772944942443175
"eig9qyxfvpqlbd8l5mmmasdc4udo","89za6@gmail.com",47,"S.BRD TA POLO KEJU","makanan pokok",2,9000,"2024-03-23","",110.435333994123,-0.772944942443175
"gmqu1r6xua0jx8udakik2y901yhr","8b6if@gmail.com",39,"GG SURYA 12","produk dewasa",2,27200,"2024-04-07","",110.435333994123,-0.772944942443175
"eig9qyxfvpqlbd8l5mmmasdc4udo","89za6@gmail.com",47,"GATSBY CLG. D/OCN. 175","personal hygiene",4,22000,"2024-04-23","",110.435333994123,-0.772944942443175
"5lbsubf97o4aey2rc8o2bulskl8m","0ew8d@gmail.com",37,"OREO ORIGINAL 119.5G","makanan manis",2,10000,"2024-09-05","",110.435333994123,-0.772944942443175
"47moy42khdtvk7b600u0j3qm0py6","b995x@gmail.com",49,"GG SURYA 12","produk dewasa",3,27200,"2024-11-21","",110.435333994123,-0.772944942443175
"frhq68x8azvprn7wt31k1kv3nmde","b8tfo@gmail.com",38,"KANZER BAKSO HOT 55G","makanan gurih",3,9000,"2024-05-31","",110.435333994123,-0.772944942443175
